complaint,department,category,priority
"A large monitor lizard has entered the ground floor kitchen area","Animal","Wildlife Encounter","Medium"
"A stray donkey with a fractured leg is lying on the walking lane","Animal","Animal Welfare","Low"
"Stray cattle creating massive traffic locks at the central roundabout","Animal","Stray Animals","High"
"Traffic signal not functioning","Traffic","Signal Issue","High"
"Signal lights damaged at junction","Traffic","Signal Issue","High"
"Traffic light stuck permanently on red, causing massive gridlock","Traffic","Signal Issue","High"
"Blinking yellow caution light is completely dead at a dangerous blind turn","Traffic","Signal Issue","High"
"The pedestrian walking signal timing is too short to cross safely","Traffic","Signal Issue","Medium"
"No traffic police personnel present to manage the chaotic rush hour intersection","Traffic","Management Issue","Medium"
"Illegal parking on both sides of narrow road causing severe traffic jams","Traffic","Parking Violations","Medium"
"Commercial delivery trucks blocking the main market passage during peak hours","Traffic","Parking Violations","Medium"
"Vehicles driving down the wrong way on a one-way street constantly","Traffic","Violations","High"
"Severe traffic congestion near the railway crossing due to broken gates","Traffic","Management Issue","High"
"Traffic sign board has fallen down and is blocking the left turn lane","Traffic","Signage Issue","Low"
"Directional boards are completely faded and unreadable for drivers","Traffic","Signage Issue","Low"
"Vehicles speeding recklessly through residential zone without speed cameras","Traffic","Violations","High"
"Auto-rickshaws parking illegally right at the subway exit blocking commuters","Traffic","Parking Violations","Medium"
"The crossroads are blocked because four lines of cars entered at once","Traffic","Management Issue","High"
"Broken down city bus in the center lane causing 2-mile tailbacks","Traffic","Management Issue","High"
"The traffic signal timer display is broken showing incorrect numbers","Traffic","Signal Issue","Low"
"Both red and green lights turning on simultaneously at the crossing","Traffic","Signal Issue","High"
"No proper lane markings or zebra cross paint visible at high speed avenue","Traffic","Signage Issue","Medium"
"Cars parked on the active flyover ramp to take scenic landscape pictures","Traffic","Parking Violations","High"
"School buses blocking the school gate during peak dispersal hours traffic","Traffic","Management Issue","Medium"
"Heavy heavy container trucks entering city limits during no entry daytime","Traffic","Violations","High"
"Reckless drag racing happening on the outer ring road every midnight","Traffic","Violations","High"
"No directional sign board showing the way to the city hospital emergency","Traffic","Signage Issue","Medium"
"The zebra crossing is completely blocked by lines of stopping vehicles","Traffic","Violations","Medium"
"Buses stopping anywhere they like instead of designated bus shelters","Traffic","Management Issue","Medium"
"Massive traffic gridlock near the stadium due to lack of entry control","Traffic","Management Issue","High"
"The signal light lens is covered with soot and mud making it invisible","Traffic","Signal Issue","Low"
"Illegal private taxi stand formed right underneath the central flyover","Traffic","Parking Violations","Medium"
"Vehicles parked in the dedicated bicycle lane forcing cyclists into traffic","Traffic","Parking Violations","Low"
"The diversion arrow sign points to the wrong closed dead end street","Traffic","Signage Issue","High"
"The pedestrian push button at the signal crossing is completely missing","Traffic","Signal Issue","Low"
"High beams from oncoming cars on the unlit divider road causing blinds","Traffic","Violations","Medium"
"Two wheelers riding on the footpaths to bypass the main road traffic jam","Traffic","Violations","High"
"A massive crane breakdown has choked the bypass entry point lane completely","Traffic","Management Issue","High"
"No u turn sign board missing at a highly crash prone fast highway point","Traffic","Signage Issue","Medium"
"Shopkeepers placing display boards on the road parking slots space","Traffic","Parking Violations","Low"
"The automated speed trap camera flash is firing continuously without cause","Traffic","Signal Issue","Low"
"Choke point formed at the highway merging line due to bad lane merging layout","Traffic","Management Issue","High"
"The traffic signal poles base is rusted out and shaking during wind storms","Traffic","Signal Issue","Medium"
"E rickshaws driving on the wrong highway tracks creating extreme danger","Traffic","Violations","High"
"Continuous gridlock at the junction because the signal cycle is too fast","Traffic","Signal Issue","High"
"Road side commercial hoardings blocking the view of the major traffic signal","Traffic","Signage Issue","Medium"
"No traffic marshals deployed near the active deep pit construction site","Traffic","Management Issue","High"
"Pavement markers are broken causing cars to drift lanes at night time","Traffic","Signage Issue","Low"
"Vehicles overtaking from the extreme left shoulder gravel lane recklessly","Traffic","Violations","High"
"Huge traffic tailbacks because the bridge lane is narrow for trucks","Traffic","Management Issue","High"
"Potholes right in the middle of school zone causing massive speed drop jams","Road","Road Damage","High"
"Deep longitudinal ruts along the bus lane making bike steering slide","Road","Road Damage","Medium"
"Asphalt erosion has exposed sharp flint stones near the temple circle","Road","Road Damage","High"
"The concrete overlay on the market street has completely fragmented apart","Road","Road Damage","High"
"Mudslide from adjacent hill track has buried half of the mountain highway","Road","Road Hazard","High"
"Sinking subgrade beneath the road tar causing structural wave patterns","Road","Road Caving","High"
"Water seepage from the canal has collapsed the side embankment of road","Road","Road Caving","High"
"A deep trench cut across the street for internet wire remains unfilled","Road","Road Damage","High"
"The brick paved lane is completely loose and tiles throw out when driven on","Road","Road Damage","Low"
"Unpainted high concrete speed breaker causing vehicles to catch airborne","Road","Speed Breaker Issue","High"
"Too many sharp speed humps built in sequence by local apartment groups","Road","Speed Breaker Issue","Medium"
"The speed bump near the steep downslope causes cars to slide out control","Road","Speed Breaker Issue","High"
"Footpath paving blocks have caved into the old underground water channel","Road","Footpath Damage","Medium"
"Walking track entirely encroached by vehicle workshop mechanics stuff","Road","Footpath Damage","Medium"
"Missing iron grates on the sidewalk path creating foot trap holes","Road","Footpath Damage","High"
"Municipal water pipe leak completely eroded the road foundation base","Water","Water Leakage","High"
"Drinking water tastes intensely rusty like old iron pipes sediment","Water","Water Quality","High"
"No water supply for four consecutive days in the entire model town plot","Water","Water Supply","High"
"Water pressure is zero even for houses closest to the main pump house","Water","Water Supply","High"
"The underground pipeline burst open flooding the metro station entry stair","Water","Water Leakage","High"
"Tap water has tiny black charcoal flakes inside the flow today morning","Water","Water Quality","High"
"Water supply turns on for barely 7 minutes with dirty red colored output","Water","Water Supply","High"
"No drinking water tanker has reached our slum zone since three days dry","Water","Water Supply","High"
"The water distribution valve is damaged and leaking underground silently","Water","Water Leakage","Medium"
"Public drinking tap fountain faucet broken off wasting water continuously","Water","Infrastructure Failure","Low"
"Water pipeline joint leaking water inside the main telephone cable junction","Water","Water Leakage","High"
"The city reservoir water level indicator is broken causing supply failure","Water","Infrastructure Failure","Medium"
"High voltage cable snapped and fallen directly onto the metal fence rail","Electricity","Dangerous Infrastructure","High"
"Frequent extreme voltage drops causing water pumps to heat up and burn","Electricity","Power Issue","High"
"The main substation transformer has caught fire with huge smoke clouds","Electricity","Transformer Failure","High"
"Total blackout in sector b since last night storm no lineman arrived","Electricity","Power Issue","High"
"Electric pole is completely cracked through middle after being hit by auto","Electricity","Dangerous Infrastructure","High"
"Exposed bare wiring strands inside the open base of street light pole","Electricity","Dangerous Infrastructure","High"
"The phase distributor box on the wall is sparking violently during rain","Electricity","Dangerous Infrastructure","High"
"Unscheduled daily power cuts for five hours destroying online office work","Electricity","Power Issue","High"
"Street lights remain completely on during the bright daylight hours peak","Electricity","Street Light Issue","Low"
"The new street light line has zero power link remaining dark at night","Electricity","Street Light Issue","Medium"
"The neighborhood transformer is making a loud screaming metallic rattle noise","Electricity","Transformer Failure","High"
"Garbage dump truck hasn't cleaned the local sector bin for two weeks solid","Sanitation","Garbage Collection","High"
"Dead cow body rotting under the hot sun emitting toxic sickening stench","Sanitation","Debris and Dead Animals","High"
"Raw sewage water bubbling out from the main manhole directly onto market lane","Sanitation","Sewage Problem","High"
"Hospital waste bags mixed with bloody bandages found dumped in regular bin","Sanitation","Hazardous Waste","High"
"The open garbage heap near park has spread across half the walking track","Sanitation","Garbage Collection","Medium"
"Sewer line choked completely causing toilet waste backflow in ground flats","Sanitation","Sewage Problem","High"
"Construction concrete waste dumped inside the community green garden plot","Sanitation","Debris and Dead Animals","Low"
"Public restroom complex completely blocked with dirt feces and no water flush","Sanitation","Public Hygiene","High"
"Open burning of dry leaves and plastic trash by sweeping staff at morning","Sanitation","Public Hygiene","High"
"Foul liquid residue dripping from municipal waste dumper onto pristine road","Sanitation","Garbage Collection","Medium"
"Stormwater drain completely choked with silt and bottles causing instant pool","Drainage","Drainage Issue","High"
"The main concrete drainage pipe has broken apart under the market square","Drainage","Drainage Issue","High"
"A kid slipped and fell into the deep open roadside gutter lacking grid mesh","Drainage","Drainage Hazard","High"
"Gutter water overflowing into low houses after an hours drizzle shower","Drainage","Drainage Issue","High"
"The outlet culvert channel is blocked with dense wild grass growth blocking water","Drainage","Drainage Issue","Medium"
"Mosquito infestation exploded due to huge black standing drainage water pools","Drainage","Drainage Issue","High"
"The road culvert has caved inside stopping all storm runoff flow water","Drainage","Drainage Issue","High"
"Industrial chemical effluent running down open public residential rain gutter","Drainage","Drainage Issue","High"
"The drainage layout slope is reversed causing water to back flow to start","Drainage","Drainage Issue","Medium"
"Open storm drain running next to school boundary wall has no side safety rail","Drainage","Drainage Hazard","High"
"Pack of ten feral stray dogs attacking anyone passing through alley corner","Animal","Stray Animals","High"
"Stray bull went rampage inside the crowded fruit market breaking stalls","Animal","Stray Animals","High"
"A poisonous viper snake found inside the kindergarten play sand box pit","Animal","Wildlife Encounter","High"
"Monkeys entered the third floor balcony and bit a baby sleeping inside","Animal","Wildlife Encounter","High"
"Injured horse with broken leg left abandoned near the main avenue roundabout","Animal","Animal Welfare","Medium"
"Stray cattle sleeping on the highway track causing high speed braking skips","Animal","Stray Animals","High"
"Feral street dogs chasing and biting delivery bike rider boys every night","Animal","Stray Animals","High"
"Massive honeybee hive built directly over the public library main corridor","Animal","Wildlife Encounter","Medium"
"Stray pigs digging up sewer lines edges spreading dirt across the colony","Animal","Stray Animals","Medium"
"Abandoned sick dog with severe skin disease sitting near restaurant gate","Animal","Animal Welfare","Medium"
"Traffic light signal completely dead at the busiest highway exit ramp junction","Traffic","Signal Issue","High"
"Traffic light stuck on red light line for 20 minutes causing mass honking","Traffic","Signal Issue","High"
"Vehicles driving down wrong track on a fast one way corridor link street","Traffic","Violations","High"
"Illegal travel agency buses parking on two lanes of the primary market avenue","Traffic","Parking Violations","High"
"Severe traffic lock at railway track crossing due to malfunctioned gate barriers","Traffic","Management Issue","High"
"The directional board to airport is broken down and upside down on path","Traffic","Signage Issue","Low"
"No lane separator blocks on the narrow flyover curve causing head on risks","Traffic","Management Issue","High"
"Reckless speeding dumpers racing inside residential lanes at morning hours","Traffic","Violations","High"
"The pedestrian signal turns green for only 4 seconds unable to cross elderly","Traffic","Signal Issue","Medium"
"No traffic officer present to clear the massive block caused by broken auto","Traffic","Management Issue","High"
"The main link street is full of huge deep craters causing truck axles break","Road","Road Damage","High"
"Asphalt layer stripped completely off leaving a dangerous gravel skid zone","Road","Road Damage","High"
"Road surface is entirely broken and loose after sewer pipes were laid down","Road","Road Damage","Medium"
"A massive sinkhole has formed under the main city bus lane tracking down","Road","Road Caving","High"
"The foundation of the concrete road near river channel has caved deeply","Road","Road Caving","High"
"Unmarked high speed breaker near the blind curve causing bike accidents","Road","Speed Breaker Issue","High"
"The pavement slabs are entirely missing near the visually impaired center","Road","Footpath Damage","High"
"Sidewalk completely blocked by iron rebars from active construction work site","Road","Footpath Damage","Medium"
"Potholes on the approach ramp of flyover causing cars to stall out sudden","Road","Road Damage","High"
"The tar layer has shifted creating deep wave ridges dangerous for scooters","Road","Road Damage","Medium"
"Water supply is totally cut off since five days in block c colony area","Water","Water Supply","High"
"Municipal tap water smells extremely bad like chemical toxic fluid waste","Water","Water Quality","High"
"The primary distribution main pipeline cracked open wasting millions of gallons","Water","Water Leakage","High"
"Water pressure is so weak it takes an hour to fill a small plastic bucket","Water","Water Supply","Medium"
"Drinking water contains visible red worms and dirt floating inside taps","Water","Water Quality","High"
"The public borewell pump has completely burnt down out of voltage issue","Water","Infrastructure Failure","High"
"Water line cross leaking inside the local open raw sewage channel grid","Water","Water Quality","High"
"The valve regulator house is abandoned and water is spilling out uncontrollably","Water","Infrastructure Failure","Medium"
"Municipal water lines supplying highly salty hard water ruining hair and skin","Water","Water Quality","Medium"
"Underground water line leakage causing water to flood house basement floors","Water","Water Leakage","High"
"Transformer caught fire with explosion sound cutting power to whole block","Electricity","Transformer Failure","High"
"High voltage cable snapped and is dangling low over the crowded school gate","Electricity","Dangerous Infrastructure","High"
"Complete block power failure since ten hours straight in peak afternoon summer","Electricity","Power Issue","High"
"Frequent extreme high voltage surges burning down household computer setups","Electricity","Power Issue","High"
"The utility electric pole is tilted at a 45 degree angle ready to fall down","Electricity","Dangerous Infrastructure","High"
"Exposed electrical terminal lines inside the open street light pillar box","Electricity","Dangerous Infrastructure","High"
"The feeder box door is missing with bare copper bars fully visible outside","Electricity","Dangerous Infrastructure","High"
"Street lights are fully broken down across the entire residential link stretch","Electricity","Street Light Issue","Medium"
"The street lamp flickers continuously like a strobe light causing eye strain","Electricity","Street Light Issue","Low"
"The pole transformer is leaking heavy black oil directly onto the foot track","Electricity","Transformer Failure","High"
"Garbage dump piles left uncollected outside the primary health center entry","Sanitation","Garbage Collection","High"
"A decaying stray pig body lying on market pathway spreading horrible smell","Sanitation","Debris and Dead Animals","High"
"Raw black sewage water spilling over from clogged drain onto food truck area","Sanitation","Sewage Problem","High"
"Toxic battery chemicals and e waste thrown openly in the children playground","Sanitation","Hazardous Waste","High"
"The main neighborhood trash container is missing and people dump on ground","Sanitation","Garbage Collection","Medium"
"Sewer line block has caused fecal matter to back up inside residential baths","Sanitation","Sewage Problem","High"
"Demolition stone debris left blocking the narrow lane since three weeks old","Sanitation","Debris and Dead Animals","Medium"
"Public community latrine facility is completely unusable filthy with no water","Sanitation","Public Hygiene","High"
"Thick white toxic smoke from open trash burning by cleaners blinding drivers","Sanitation","Public Hygiene","High"
"The septic fluid truck dumping waste directly inside the layout rain park","Sanitation","Sewage Problem","High"
"The main storm drain line is blocked solid with plastic debris causing floods","Drainage","Drainage Issue","High"
"Underground concrete culvert pipe split into half blocking the whole flow","Drainage","Drainage Issue","High"
"A toddler nearly fell inside the open concrete gutter hole lacking cover plate","Drainage","Drainage Hazard","High"
"Gutter slush overflowing inside ground floor shops destroying fine goods","Drainage","Drainage Issue","High"
"The open drain channel has become a massive stagnant mosquito swamp pool","Drainage","Drainage Issue","High"
"Rain water flooding the complete underpass because the drain line is choked","Drainage","Drainage Issue","High"
"Chemical wash water running down from local factory into public open drains","Drainage","Drainage Issue","High"
"The drain wall has broken down letting dirty water erode house foundation","Drainage","Drainage Hazard","High"
"Slab covers on the market drain are loose and flipping up under feet steps","Drainage","Drainage Hazard","Medium"
"The main drainage exit pump failed during the heavy storm night hours","Drainage","Drainage Issue","High"
"Feral dog pack bit two children playing near the society garden swings","Animal","Stray Animals","High"
"Stray cow standing inside the narrow entry gate blocking emergency exit","Animal","Stray Animals","High"
"A wild cobra snake found resting inside the car engine dashboard area","Animal","Wildlife Encounter","High"
"Troop of monkeys attacking residents carrying vegetable baskets down lane","Animal","Wildlife Encounter","High"
"An injured dying calf lying in the open sun with bleeding leg cuts","Animal","Animal Welfare","High"
"Stray bulls fighting wildly on the street breaking storefront glass panes","Animal","Stray Animals","High"
" Feral street dogs bark aggressively chasing old walkers on the track","Animal","Stray Animals","Medium"
"A large beehive on the school balcony window tracking down safety hazard","Animal","Wildlife Encounter","Medium"
"Stray pigs roaming inside the hospital compound spreading vector risks","Animal","Stray Animals","High"
"Abandoned sick horse left on the busy highway junction lane starving down","Animal","Animal Welfare","High"
"The major crossroads traffic signal is completely dead causing massive chaos","Traffic","Signal Issue","High"
"Traffic signal light stuck on green for all sides causing t bone crashes","Traffic","Signal Issue","High"
"Dozens of cars driving wrong side path to skip the toll plaza line track","Traffic","Violations","High"
"Commercial trucks parking on both sides of active main street narrowing path","Traffic","Parking Violations","High"
"Severe gridlock at intersection due to complete absence of traffic cop guide","Traffic","Management Issue","High"
"Speed limit indicator boards are fully broken down or painted over by thugs","Traffic","Signage Issue","Low"
"No lane markings separating fast traffic on the high speed flyover path","Traffic","Management Issue","High"
"Sport bikes racing at 150 kmh inside residential colony avenue paths","Traffic","Violations","High"
"The pedestrian walking countdown timer is broken showing blank screen unit","Traffic","Signal Issue","Low"
"City transit buses stopping randomly in the middle lane to drop passengers","Traffic","Management Issue","High"
"Road broken completely near the market area making it tough to drive","Road","Road Damage","High"
"Huge holes on the asphalt lane near the metro pillar track down","Road","Road Damage","High"
"The road surface has peeled off after the heavy monsoon storm rains","Road","Road Damage","High"
"Bikes skidding daily due to the loose gravel spread over unpaved road","Road","Road Damage","High"
"Massive pits on the main highway are destroying car tires suspension","Road","Road Damage","High"
"Deep longitudinal cracks running down the middle of the street avenue","Road","Road Damage","Medium"
"The tar surface has completely melted and cracked in this extreme heat","Road","Road Damage","Low"
"Road edge caved inside the deep storm water ditch lane path","Road","Road Caving","High"
"A massive sinkhole opened up overnight on the crowded market square corner","Road","Road Caving","High"
"The ground under the paved street is sinking near the old canal wall","Road","Road Caving","High"
"High concrete speed breaker built without any paint signs or markers","Road","Speed Breaker Issue","Medium"
"Illegal speed bumps built by local shopkeepers are causing accidents","Road","Speed Breaker Issue","Medium"
"The pavement track is entirely broken forcing people to walk on active road","Road","Footpath Damage","Medium"
"Sidewalk slabs missing near the children blind welfare school zone block","Road","Footpath Damage","High"
"Footpath fully blocked by construction debris piles left by builders","Road","Footpath Damage","Medium"
"Water supply cut down since three days in our entire residential block","Water","Water Supply","High"
"No water coming out of taps in the whole colony since yesterday night","Water","Water Supply","High"
"Drinking water completely unavailable in ward number five sector area","Water","Water Supply","High"
"The main water distribution pipeline burst open wasting precious liquid water","Water","Water Leakage","High"
"Underground pipe leak causing water to enter house base floor structures","Water","Water Leakage","High"
"Water flow pressure is so low it cannot even fill ground tanks","Water","Water Supply","Medium"
"Tap water looks extremely muddy and dirty like raw pond liquid fluid","Water","Water Quality","High"
"Drinking water smells strongly of sewage mix and bleach chemical oil","Water","Water Quality","High"
"Yellowish contaminated water coming from the municipal supply lines line","Water","Water Quality","High"
"Worm insects visible swimming inside the supplied tap drinking water","Water","Water Quality","High"
"The community public borewell pump motor is burnt down completely out","Water","Infrastructure Failure","High"
"Overhead municipal water supply tank is endlessly overflowing for hours","Water","Water Waste","Medium"
"Street lights are completely dead near the primary train transit station","Electricity","Street Light Issue","Medium"
"Frequent unscheduled power cuts happening ten times a day out zone","Electricity","Power Issue","High"
"Electric pole is severely broken and leaning towards house balcony line","Electricity","Dangerous Infrastructure","High"
"Complete blackout in our block since the last five hours straight down","Electricity","Power Issue","High"
"High voltage fluctuations are burning out house electronic appliances fast","Electricity","Power Issue","High"
"Phase outage left half of the society homes in total pitch darkness","Electricity","Power Issue","High"
"The local area transformer blasted with a huge loud sound catching fire","Electricity","Transformer Failure","High"
"Feeder pillar box door is wide open with exposed high live wire strands","Electricity","Dangerous Infrastructure","High"
"High tension electric wire snapped and lying on the wet street floor track","Electricity","Dangerous Infrastructure","High"
"Street lights remain fully turned on during the sunny afternoon peak times","Electricity","Street Light Issue","Low"
"Garbage hasn't been swept or collected for over a week from our line","Sanitation","Garbage Collection","Medium"
"Open waste dumping on the corner plot causing horrible rot smell stink","Sanitation","Garbage Collection","Medium"
"Raw sewage water oozing from manhole spreading terrible stench across path","Sanitation","Sewage Problem","High"
"The community public dustbin is fully overflowing with trash spilling out","Sanitation","Garbage Collection","Medium"
"A dead dog body is rotting on the side of the main walking avenue track","Sanitation","Debris and Dead Animals","High"
"Illegal dumping of hazardous medical waste needles behind the local clinic","Sanitation","Hazardous Waste","High"
"Sewer pipeline choked completely backflowing into ground floor toilets out","Sanitation","Sewage Problem","High"
"Demolition stone debris left on the street blocking vehicle transit space","Sanitation","Debris and Dead Animals","Medium"
"Public utility latrine is extremely dirty with no water or flush facility","Sanitation","Public Hygiene","High"
"Open burning of plastic garbage piles filling houses with black soot smoke","Sanitation","Public Hygiene","High"
"Drainage water overflowing over the roads making it a shallow lake path","Drainage","Drainage Issue","Medium"
"Drainage line block causing instant flash flooding of the whole sector avenue","Drainage","Drainage Issue","Medium"
"Rainwater standing permanent due to blocked storm water gutter networks","Drainage","Drainage Issue","Medium"
"The deep open storm drain lacks any safety cover mesh or iron grates","Drainage","Drainage Hazard","High"
"A young child almost drowned inside the open sewer ditch near the park","Drainage","Drainage Hazard","High"
"Mosquitoes breeding exponentially due to massive standing gutter slush pools","Drainage","Drainage Issue","Medium"
"Road side drainage gutters are choked with thick black silt and plastics","Drainage","Drainage Issue","Medium"
"Underground sewer network pipe collapsed under the heavy truck lane pressure","Drainage","Drainage Issue","High"
"The main drainage exit channel is blocked by water plants and weeds mass","Drainage","Drainage Issue","Medium"
"Kitchen oil and grease from food trucks choked the gully trap line pipe","Drainage","Drainage Issue","Medium"
"Many aggressive stray dogs chasing children playing near the society gate","Animal","Stray Animals","Medium"
"Stray dog pack creating extreme safety problems near the primary school yard","Animal","Stray Animals","Medium"
"A pack of wild street dogs attacked and bit a postman delivery guy today","Animal","Stray Animals","High"
"Stray cows sitting on the center lane of highway causing vehicle crashes","Animal","Stray Animals","High"
"Rabid looking street dog biting people near the public market circle layout","Animal","Stray Animals","High"
"Wild monkeys entering home kitchens stealing food items and scratching people","Animal","Wildlife Encounter","High"
"A large venomous black cobra snake spotted inside the crowded walking park","Animal","Wildlife Encounter","High"
"Injured street bull lying on the pavement unable to move its hind legs","Animal","Animal Welfare","Medium"
"Stray pigs digging up trash containers scattering filth across the entire road","Animal","Stray Animals","Medium"
"Bulls fighting aggressively on the street smashing into parked cars scooters","Animal","Stray Animals","High"
"Traffic light signal not functioning at the busiest highway exit junction","Traffic","Signal Issue","High"
"Signal lights completely broken down down near the entry toll plaza line","Traffic","Signal Issue","High"
"Traffic light light stuck on red phase causing endless traffic tailbacks","Traffic","Signal Issue","High"
"Blinking caution yellow lamp is dead at a highly dangerous blind road turn","Traffic","Signal Issue","High"
"No traffic officer present to handle the extreme peak hours rush hour chaos","Traffic","Management Issue","Medium"
"Illegal double parking on both sides of narrow street locking traffic movement","Traffic","Parking Violations","Medium"
"Vehicles driving down the wrong track direction on a fast one way corridor","Traffic","Violations","High"
"Severe traffic lock near railway track crossing due to broken manual gates","Traffic","Management Issue","High"
"Traffic sign board has fallen over completely blocking the free left lane","Traffic","Signage Issue","Low"
"Reckless speeding by heavy trucks inside the residential school zone tracks","Traffic","Violations","High"
"The asphalt road has cracked into deep trenches near the flyover base","Road","Road Damage","High"
"Massive ruts formed on the tar road surface due to heavy trailer load","Road","Road Damage","High"
"The street is full of broken stones and sharp gravel from eroded top layer","Road","Road Damage","Medium"
"A major cave-in observed on the active vehicle lane of main circle","Road","Road Caving","High"
"The highway side slope is sliding down into the low residential sector area","Road","Road Caving","High"
"High concrete speed hump built without warning markers breaking car oil sumps","Road","Speed Breaker Issue","High"
"The walking path pavement slabs are loose and flipping up under feet step","Road","Footpath Damage","Low"
"Sidewalk entirely blocked by iron rods and sand bags from builder group","Road","Footpath Damage","Medium"
"Potholes right in front of the hospital ambulance garage entrance gate track","Road","Road Damage","High"
"The road surface has waves and humps due to poor quality steamrolling work","Road","Road Damage","Medium"
"Water supply has gone completely dry since four days in block b layout","Water","Water Supply","High"
"Municipal tap water smells terribly bad like sewer waste mix fluid water","Water","Water Quality","High"
"The main water pipeline fractured near the railway bridge foundation line","Water","Water Leakage","High"
"Water pressure is so weak it takes 30 minutes to fill one bottle bucket","Water","Water Supply","Medium"
"Drinking water contains red worms and brown dirt silt mud particles inside","Water","Water Quality","High"
"The block community well pump motor has burnt out due to line fuse issue","Water","Infrastructure Failure","High"
"Water pipeline cross leaking directly into the open black drainage gutter","Water","Water Quality","High"
"The overhead supply reservoir valve is stuck open wasting thousands of gallons","Water","Water Waste","Medium"
"Municipal lines supplying bitter hard water that corrodes metal pipes fast","Water","Water Quality","Medium"
"Underground water main leakage causing ground water to seep into house wall","Water","Water Leakage","High"
"Local transformer caught fire with loud explosion cutting power to block","Electricity","Transformer Failure","High"
"High voltage phase line snapped and hanging low over the market walkway","Electricity","Dangerous Infrastructure","High"
"Complete electrical blackout since eight hours in this peak hot summer day","Electricity","Power Issue","High"
"Frequent voltage drops causing household AC units to trip and fail down","Electricity","Power Issue","High"
"The utility pole is leaning at an acute angle over a residential balcony","Electricity","Dangerous Infrastructure","High"
"Exposed live copper busbars inside the open unlatched feeder pillar box","Electricity","Dangerous Infrastructure","High"
"Junction box door missing with loose wire bundles near children play park","Electricity","Dangerous Infrastructure","High"
"Entire street lamp network is dead across the whole residential link sector","Electricity","Street Light Issue","Medium"
"The street light lamp flickers non stop creating high driving glare hazard","Electricity","Street Light Issue","Low"
"The pole transformer is leaking hazardous cooling oil over the walking trail","Electricity","Transformer Failure","High"
"Garbage piles left uncollected outside the local health center entrance lane","Sanitation","Garbage Collection","High"
"A decomposing stray pig body lying on market pathway spreading foul odor","Sanitation","Debris and Dead Animals","High"
"Raw black sewage water flooding the street from a choked central manhole line","Sanitation","Sewage Problem","High"
"Used medical needles and blood vials thrown openly in public trash container","Sanitation","Hazardous Waste","High"
"The community skip dump bin is missing and people throw waste on bare soil","Sanitation","Garbage Collection","Medium"
"Sewer line block has caused toilet waste water to reverse flush into flat baths","Sanitation","Sewage Problem","High"
"Demolition concrete bricks left blocking the sidewalk path since two weeks","Sanitation","Debris and Dead Animals","Medium"
"Public convenience latrine is fully choked filthy with no flush water tank","Sanitation","Public Hygiene","High"
"Thick toxic smoke from garbage open burning by sweepers blinding road view","Sanitation","Public Hygiene","High"
"The septic sludge tanker emptying waste inside the residential green woods","Sanitation","Sewage Problem","High"
"The main storm rain drain line is blocked solid with plastic waste silt pack","Drainage","Drainage Issue","High"
"Underground concrete box culvert split apart blocking the whole stream flow","Drainage","Drainage Issue","High"
"A small kid nearly slipped inside the deep open gutter lacking metal cover","Drainage","Drainage Hazard","High"
"Gutter slush overflowing inside ground floor electronic shops ruining stocks","Drainage","Drainage Issue","High"
"The open drain canal has turned into a massive static mosquito breeding swamp","Drainage","Drainage Issue","High"
"Rain water flooding the complete underpass because the drain pipe is choked","Drainage","Drainage Issue","High"
"Chemical acid water running out from micro factory into public rain drains","Drainage","Drainage Issue","High"
"The drain concrete wall has collapsed letting sewage erode house basement wall","Drainage","Drainage Hazard","High"
"Slab covers on the market drain are cracked and flipping up under heavy feet","Drainage","Drainage Hazard","Medium"
"The primary drainage lifting pump station failed during the night storm hours","Drainage","Drainage Issue","High"
"Feral street dog pack bit two kids playing near the society park swings area","Animal","Stray Animals","High"
"Stray cow standing inside the narrow clinic gate blocking emergency patients","Animal","Stray Animals","High"
"A wild venomous snake found inside the car engine air filter box compartment","Animal","Wildlife Encounter","High"
"Troop of monkeys attacking women carrying fruit baskets down the society lane","Animal","Wildlife Encounter","High"
"An injured weak calf lying in the open sun with bleeding cuts on legs","Animal","Animal Welfare","High"
"Stray bulls fighting madly on the road breaking commercial glass store fronts","Animal","Stray Animals","High"
"Feral dogs growl and chase old people walking on the morning jogging track","Animal","Stray Animals","Medium"
"A massive honeybee hive on the school corridor window frame safety hazard","Animal","Wildlife Encounter","Medium"
"Stray pigs digging up open sewer gutters spreading disease across the sector","Animal","Stray Animals","High"
"Abandoned starving horse left on the fast highway lane looking weak down","Animal","Animal Welfare","High"
"The main intersection crossroads traffic signal is completely dead causing mess","Traffic","Signal Issue","High"
"Traffic signal light stuck on green for all crossroads causing side crashes","Traffic","Signal Issue","High"
"Many cars driving wrong way track to skip the crowded highway highway toll plaza","Traffic","Violations","High"
"Commercial container trucks parking on two lanes of active street narrowing path","Traffic","Parking Violations","High"
"Severe traffic lock at crossing due to complete absence of traffic cop manual","Traffic","Management Issue","High"
"Speed limit indicator sign boards are fully broken down or stolen by thieves","Traffic","Signage Issue","Low"
"No lane markings separating high speed vehicles on the narrow flyover line","Traffic","Management Issue","High"
"Modified sports bikes racing at extreme speeds inside residential blocks paths","Traffic","Violations","High"
"The pedestrian crossing countdown screen is broken showing blank panel board","Traffic","Signal Issue","Low"
"City transit buses stopping abruptly in center lane to drop off passengers pack","Traffic","Management Issue","High"
"The main road is broken near market area making it tough to drive","Road","Road Damage","High"
"Huge pits on the asphalt lane near metro pillar number 45 track","Road","Road Damage","High"
